Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
589,626.42,630.66,621.01,626.29,165559,3374.2,103790957.2,9.65,-0.13,626.91
590,631.19,635.8,626.6,631.77,75784,1708.6,47823245.2,9.2,0.58,631.05
591,637,641.36,631.34,636.41,158776,2479.6,100974408.8,10.02,-0.59,635.96
592,634.09,636.98,629.84,633.94,78451,1869.2,49689759.2,7.14,-0.15,633.39
593,642.11,647.34,638.46,643.33,249939,1531.4,160693541.4,8.88,1.22,642.93
594,648.77,653.73,643.46,650.2,130151,2266.2,84720484.8,10.27,1.43,650.94
595,670.22,680.27,663.92,676.01,163088,3457.8,111097070,16.35,5.79,681.21
596,694.02,697.71,684.74,692.33,186564,3966.4,128349682.4,12.97,-1.69,687.97
597,692.26,697.08,688.12,692.1,157787,2644,109277312.2,8.96,-0.16,692.56
598,683.88,688.13,676.87,682.48,265497,3170,181398788.8,11.26,-1.4,683.24
599,680.47,684.37,673.97,677.76,55234,1332.8,37458965.4,10.4,-2.71,678.19
600,684.15,685.3,677.85,682.36,98919,1930.6,67500315.6,7.45,-1.79,682.38
601,672.6,677.47,666.38,669.84,104578,2091.2,70124501.4,11.09,-2.76,670.55
602,668.58,671.81,659.98,665.55,160183,3296,106589076.2,11.83,-3.03,665.42
603,660.15,663.39,653.88,658.35,99335,2443.6,65444457.8,9.51,-1.8,658.83
604,658.1,660.95,647.28,652.34,275996,3111.6,178963115,13.67,-5.76,648.43
605,642.2,647.86,638.59,643.91,132645,2180.8,85358090.6,9.27,1.71,643.51
606,661.71,670.07,659,666.88,286636,3123.6,191829064.8,11.07,5.17,669.24
607,674.08,676.44,668.2,670.48,67173,1413.2,45216752.4,8.24,-3.6,673.14
608,648.24,653.07,634.83,638.97,120036,2567.6,76435736.6,18.24,-9.27,636.77
609,632.32,640.89,627.73,637.78,165855,2826.8,105366969.2,13.16,5.46,635.3
610,647.2,652.69,634.32,644.54,272253,5647.2,173759602.8,18.37,-2.66,638.23
611,628.74,635.26,616.17,622.73,265095,4339,166436379.4,19.09,-6.01,627.84
612,617.95,625.36,611.12,620.42,190961,2220.8,117601584.4,14.24,2.47,615.84
613,622.53,627.13,616.6,621.89,299237,2640.2,186406283.6,10.53,-0.64,622.94
614,636.79,646.3,633.01,643.91,130628,2447.2,83497454.4,13.29,7.12,639.2
615,677.8,689.4,668.38,682.4,281815,4833.8,193103464.4,21.02,4.6,685.21
616,689.3,695.04,681.79,687.7,154300,2100.2,106193543.6,13.25,-1.6,688.23
617,686.7,694.46,680.92,690.26,152329,2914.8,104864464,13.54,3.56,688.41
618,701.2,710.35,696.25,704.43,129426,2726.8,91809109.6,14.1,3.23,709.36
619,711.59,716.68,704.03,708.68,98414,1750.6,69934699.2,12.65,-2.91,710.62
620,707.79,717.56,703.55,713.81,157622,2241,112557934.2,14.01,6.02,714.1
621,695.56,700.11,684.25,688.81,90184,1807.2,62158551.2,15.86,-6.75,689.24
622,672.56,679.95,663.99,668.01,105337,1970.2,70894030.4,15.96,-4.55,673.02
623,662.78,666.44,651.65,658.38,294174,3614.8,193662270,14.79,-4.4,658.33
624,632,642.71,625.35,633.07,149562,4014.6,95202788.8,17.36,1.07,636.54
625,660.67,665.99,652.25,659.99,208348,4335.2,136653682.4,13.74,-0.68,655.89
626,665.9,673.8,655.11,667.06,77856,2755.8,52192885.2,18.69,1.16,670.38
627,681.56,689.91,668.4,682.97,157234,6893.2,105780322,21.51,1.41,672.76
628,677.63,682.74,666.92,672.13,110561,3883.2,74200349.6,15.82,-5.5,671.13
629,633.8,639.33,621.12,629.12,217889,6706.6,136995327.6,18.21,-4.68,628.74
630,621.69,626.55,609.33,616.71,141754,4270.2,87104361.2,17.22,-4.98,614.48
631,610.36,615.22,592.08,603.19,394122,8776.2,235782728.2,23.14,-7.17,598.25
632,596.25,608.88,583.32,597.5,410914,9197.2,245888421,25.56,1.25,598.39
633,580.03,592.55,561.03,575.46,473736,11330,270125059.2,31.52,-4.57,570.2
634,598.25,611.74,582.35,598.86,425318,10318,251762114.8,29.39,0.61,591.94
635,638.6,644.58,627.39,639.33,291945,6497.2,185162774.6,17.19,0.73,634.24
636,659.16,665.72,640.44,654.99,344408,9278.8,225246683,25.28,-4.17,654.01
637,618,623.21,602.47,611.5,313743,8517.6,191760662.6,20.74,-6.5,611.2
638,631.66,645.92,622.72,638.56,191487,5975.6,121289889.6,23.2,6.9,633.41
639,656.43,663.07,642.81,654.81,229541,7381,150355750.2,20.26,-1.62,655.03
640,667,675.36,659.18,668.94,206714,4931,138277841,16.18,1.94,668.93
641,673.42,681.66,666.79,677.18,169821,4098,114939431.8,14.87,3.76,676.83
642,677.49,683.12,671.12,674.77,111151,2778,75249838.8,12,-2.72,677.01
643,650.69,656.98,638.15,645.76,110870,3659.4,71875969.6,18.83,-4.93,648.29
644,652.02,658.8,644.34,651.64,158131,4872.6,103474156.4,14.46,-0.38,654.36
645,651.9,662.06,647.68,656.03,195387,4081.4,127979027.6,14.38,4.13,655
646,666.2,673.26,662.59,669.25,314242,6044.2,210901517.2,10.67,3.05,671.14
647,695.24,703.07,689.15,695.26,357996,4515.2,249681686.8,13.92,0.0200000000000001,697.44
648,669.61,678.96,657.44,665.34,202298,4723.2,134715631,21.52,-4.27,665.93
649,667.36,672.41,660.63,666.3,111300,2613.2,74289785.2,11.78,-1.06,667.47
650,664.69,669.21,657,662.6,232236,2485.4,153832126,12.21,-2.09,662.4
651,664.82,670.78,657.25,665.47,155447,3746.2,103254589,13.53,0.65,664.24
652,674.78,679.78,666.87,672.92,152504,3278.4,102384387.2,12.91,-1.86,671.36
653,673.05,676.98,665.83,671.5,254255,3138.4,169547967.8,11.15,-1.55,666.84
654,640.01,643.4,631.95,635.7,299527,4612.8,191645860,11.45,-4.31,639.83
655,638.93,645.82,630.68,641.35,182094,2949,116655591.2,15.14,2.42,640.63
656,644.04,649.02,637.46,643.26,106651,2187.6,68790331.2,11.56,-0.78,645
657,661.21,669.78,656.02,665.53,106838,2395.6,71047113.2,13.76,4.32,665
658,669.71,676.29,665.09,670.26,103181,3325.8,69066091,11.2,0.55,669.37
659,691.98,708.79,686.08,703.13,287060,5951.4,205084697.2,22.71,11.15,714.43
660,732.9,741.68,726.02,734.21,208728,3439.4,153251635,15.66,1.31,734.22
661,739.59,744.52,734.23,739.33,206104,2712.8,153325805.6,10.29,-0.26,743.92
662,750.44,755.19,739.46,744.97,417869,4589.4,311486999,15.73,-5.47,745.42
663,732.5,739.7,722.75,730.44,161931,3781.8,118103315.8,16.95,-2.06,729.34
664,731.65,736.5,723.58,728.78,117187,5676.8,85485784.6,12.92,-2.87,729.48
665,725.39,732.25,720.22,725.75,212825,8090.6,154571052.2,12.03,0.36,726.28
666,720.86,726.13,713.8,717.52,129826,5629,93416206,12.33,-3.34,719.55
667,741.35,760.9,736.94,754.29,184632,8605.4,141649505.6,23.96,12.94,767.2
668,796.2,818.65,788.4,799.1,300555,11782.4,245841549.6,30.25,2.9,817.96
669,803.14,808.83,792.9,801.02,153176,6837.2,122366676.6,15.93,-2.12,798.86
670,810.69,825.07,799.61,814.51,190496,6881.4,154308688.6,25.46,3.82,810.04
671,819.57,823.62,808.2,814.78,197686,6196.4,160859954.6,15.42,-4.79,813.71
672,832.39,844.58,822.97,836.29,182428,7894.8,152425787.6,21.61,3.9,835.54
673,831.87,836.36,821.71,826.67,138790,5301.4,114966100.2,14.65,-5.2,828.35
674,823.72,828.44,816.38,819.31,160706,5297.8,131877429.8,12.06,-4.41,820.61
675,842.28,850.68,829.87,840.61,136440,4860.2,114977015,20.81,-1.67,842.69
676,823.62,832.48,813.25,822.13,424623,5876.6,348675740.8,19.23,-1.49,821.14
677,834.01,840.47,824.76,833.47,153447,6719,127933364.6,15.71,-0.54,833.73
678,839.38,844.19,831.44,836.42,269766,5319.8,226353805,12.75,-2.96,839.07
679,824.68,826.73,813.18,818.31,116356,4529.6,95587904.6,13.55,-6.37,821.51
680,805.24,810.25,798.28,804.24,95111,4742.4,76342991.6,11.97,-1,802.67
681,826.04,835,818.68,826.86,215426,5903.4,178201039.2,16.32,0.82,827.2
682,842.88,847.96,835.12,842.41,130006,4821.2,109450732.4,12.84,-0.47,841.89
683,851.64,857.8,844.77,851.47,185424,5311.8,158378645.8,13.03,-0.17,854.14
684,857.13,864.3,852.7,859.34,184659,4300.6,158773238.8,11.6,2.21,859.82
685,854.99,861.36,846.78,854.62,264064,5154.4,225704578.6,14.58,-0.37,854.73
686,855.13,864.2,846.34,856.36,316196,5501,270268363.2,17.86,1.23,854.75
687,867.43,873.08,859.45,866.96,285051,8169,247326841,13.63,-0.47,867.66
688,874.6,882.9,862.01,871.86,164256,4921.2,143157415.8,20.89,-2.74,871.55
689,890.07,901.12,884.21,893.25,310525,7337.4,276918648,16.91,3.18,891.78
690,897.09,904.62,892.84,898.28,267424,4946.8,241219088.4,11.78,1.19,902.01
691,908.62,914.58,901.22,906.77,257862,5705.2,234279275.6,13.36,-1.85,908.55
692,919.1,929.5,908.51,921.83,234485,7125.2,215319234.6,20.99,2.73,918.26
693,933.08,941.52,923.62,934.93,150009,6305.2,140595454.4,17.9,1.85,937.25
694,950.29,957.74,942.26,949.83,128704,4610.2,122585217.4,15.48,-0.46,952.46
695,937.42,942.8,929.11,934.06,129298,4629.4,121146406,13.69,-3.36,936.95
696,929.5,938.22,924.32,932.87,89373,3391.4,83302417.8,13.9,3.37,932.08
697,943.8,951.52,933.79,943.89,183322,6250,172227544.8,17.73,0.0899999999999999,939.48
698,952.16,957.82,944.87,950.7,149851,3178.6,142708411,12.95,-1.46,952.34
699,954.19,960.36,944.63,952.18,126925,4770.2,121620965.2,15.73,-2.01,958.21
700,965.61,973.66,959.22,966.84,155937,7062,150953884.2,14.44,1.23,968.04
701,1004.37,1018.13,997.47,1008.13,370498,9898,372347257.2,20.66,3.76,1004.99
702,1046.36,1070.11,1040.15,1058.09,336984,10003.6,356577233.4,29.96,11.73,1058.14
703,1075.92,1089.01,1059.94,1073.21,244059,8351.4,260541437.2,29.07,-2.71,1067.53
704,1056.99,1067.42,1044.39,1057.7,142116,5760,150151043,23.03,0.71,1056.54
705,1078.8,1085.05,1063.8,1072,170726,5797.4,183432239.6,21.25,-6.8,1074.42
