Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
1216,798.94,807.37,795.18,802.68,652108,14090.2,524127855.6,12.19,3.74,803.74
1217,812.84,817.33,806.34,811.04,657503,14450.4,533873892,10.99,-1.8,811.97
1218,807.46,810.13,800.81,804.58,503973,8868.6,402616537.6,9.32,-2.88,798.89
1219,791.32,796.24,787.07,790.96,381658,8587.2,302221856.2,9.17,-0.36,791.87
1220,803.03,809.09,798.13,803.62,513720,10354.4,412312320.2,10.96,0.59,802.6
1221,815.42,818.12,807.55,811.87,346306,7958,281834977.8,10.57,-3.55,813.83
1222,809.87,813.96,806.83,809.89,317551,6328.8,257271606.8,7.13,0.02,810.17
1223,824.32,831.42,817.9,824.88,567460,13981.4,469114084.6,13.52,0.56,826.69
1224,817.45,820.83,807.52,811.05,402357,10524.8,326709331.2,13.31,-6.4,811.99
1225,796.67,801.08,792.06,797.36,258245,9270,205803121.4,9.02,0.69,796.93
1226,801.95,810.61,797.01,807.99,568052,17103.6,459823600.2,13.6,6.04,809.47
1227,825.72,828.99,822.18,825.35,569928,12052.2,470161766.2,6.81,-0.37,824.95
1228,823.38,825.43,817.51,818.75,300999,9958.8,245827154.8,7.92,-4.63,816.7
1229,805.47,809.91,801.59,805.28,227694,7770.6,183499796.8,8.32,-0.19,805.91
1230,811.46,815.88,806.83,810.51,364167,12903.8,295695022.2,9.05,-0.95,811.98
1231,824.22,833.97,822.03,832.15,731362,18251.8,610947666.4,11.94,7.93,835.36
1232,859.68,869.36,853.93,861.62,475237,20096.4,409591593.2,15.43,1.94,861.87
1233,865.4,872.24,859.64,865.03,823478,17177.4,712339850.8,12.6,-0.37,865.04
1234,866.89,871.49,861,865.19,832699,11860.6,719948089.4,10.49,-1.7,864.6
1235,877.62,887.18,873.77,882.75,774730,25817,683830288.6,13.41,5.13,882.67
1236,901.66,910.1,897.22,904.03,619583,21391.2,561576772,12.88,2.37,906.38
1237,927.43,939.35,923.35,932.88,848404,21998.2,792878262.4,16,5.45,934.55
1238,954.6,962.16,945.52,955.17,869177,21395.8,830154211.2,16.64,0.57,955.1
1239,959.22,965.04,954.25,961.15,685632,14708.4,654925871.4,10.79,1.93,955.21
1240,978.48,981.73,971.34,975.92,455255,12357.2,445058842.4,10.39,-2.56,977.6
1241,982.59,990.05,973.14,978.56,571361,18347,559301044,16.91,-4.03,978.89
1242,964.22,970.03,950.76,958.94,1219502,20787.4,1163364649,19.27,-5.28,953.97
1243,960.67,966.19,955.84,962.47,537039,18502.6,516447239.8,10.35,1.8,961.66
1244,974.35,978.86,969.38,973.88,408529,13175.2,398415690,9.48,-0.47,975.24
1245,968.75,974.11,964.73,969.08,331419,12999.6,321166870.6,9.38,0.33,969.07
1246,990.39,1004.36,988.58,998.07,588414,19108.2,587308946.6,15.78,7.68,998.12
1247,1009.4,1017.64,1001.24,1009.69,1106674,23038,1125303261,16.4,0.29,1016.83
1248,1033.85,1042.68,1027.64,1034.82,434630,17296.6,449387050.2,15.04,0.97,1033.95
1249,1048.03,1060.84,1038.4,1034.89,819078,25158.2,862498617.4,22.44,3.54,1053.01
1250,1061.25,1072.34,1027,1034.90 ,509973,21277.6,534345585.4,45.34,-10.15,1047.79
1251,1110.84,1128.89,1100.21,1036.54,1391668,39382.8,1579645564,28.68,11.73,1135.07
1252,1198.8,1213.28,1192.48,1045.357,2361088,34351.4,2824093247,20.8,7.58,1196.1
1253,1214.025,1221.5,1200.55,1050.657,743308,26612.5,899874379.5,20.95,-2.45,1210.63
1254,,,,1051.4123,,,,,,
1255,,,,1054.4238,,,,,,
1256,,,,1057.4353,,,,,,
1257,,,,1060.4469,,,,,,
1258,,,,1063.4584,,,,,,
1259,,,,1066.4699,,,,,,
1260,,,,1069.4814,,,,,,
1261,,,,1072.493,,,,,,
1262,,,,1075.5045,,,,,,
1263,,,,1078.516,,,,,,
1264,,,,1081.5275,,,,,,
1265,,,,1084.5391,,,,,,
1266,,,,1087.5506,,,,,,
1267,,,,1090.5621,,,,,,
1268,,,,1093.5736,,,,,,
1269,,,,1096.5852,,,,,,
1270,,,,1099.5967,,,,,,
1271,,,,1102.6082,,,,,,
1272,,,,1105.6197,,,,,,
1273,,,,1108.6313,,,,,,
1274,,,,1111.6428,,,,,,
1275,,,,1114.6543,,,,,,
1276,,,,1117.6658,,,,,,
1277,,,,1120.6774,,,,,,
1278,,,,1123.6889,,,,,,
1279,,,,1126.7004,,,,,,
1280,,,,1129.7119,,,,,,
1281,,,,1132.7235,,,,,,
1282,,,,1135.735,,,,,,
1283,,,,1138.7465,,,,,,
1284,,,,1141.758,,,,,,
1285,,,,1144.7696,,,,,,
1286,,,,1147.7811,,,,,,
1287,,,,1150.7926,,,,,,
1288,,,,1153.8041,,,,,,
1289,,,,1156.8157,,,,,,
1290,,,,1159.8272,,,,,,
1291,,,,1162.8387,,,,,,
1292,,,,1165.8502,,,,,,
1293,,,,1168.8618,,,,,,
1294,,,,1171.8733,,,,,,
1295,,,,1174.8848,,,,,,
1296,,,,1177.8963,,,,,,
1297,,,,1180.9079,,,,,,
1298,,,,1183.9194,,,,,,
1299,,,,1186.9309,,,,,,
1300,,,,1189.9424,,,,,,
1301,,,,1192.954,,,,,,
1302,,,,1195.9655,,,,,,
1303,,,,1198.977,,,,,,
1304,,,,1201.9885,,,,,,
1305,,,,1204.5499,,,,,,
